feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
-1.0,-1.0,0.0,-1.0,2.0,-1.3524499366343388,0.9173759467113793,-0.8277662197571987,1.980022250272099,-3.1669479036620016,0
-4.0,0.0,0.0,-4.0,2.0,-1.4284388328821374,3.350595014141091,-0.012960592275544025,2.9887347174803773,-0.7915893828459983,0
1.0,1.0,-3.0,-2.0,-1.0,-4.062959527145972,-1.350439817313835,1.237486527212523,0.2688247744060597,2.2917129390510107,0
2.0,-4.0,-1.0,-3.0,4.0,-4.404857045017694,-3.780209070914716,-2.486474905877467,-3.615290056978215,-0.8679782527645536,0
0.0,0.0,-2.0,-4.0,4.0,-2.8881445076968704,-1.1380532965283239,-2.7173753365501803,1.1326326850671347,-0.8357274413591247,0
-1.0,-3.0,-7.0,-4.0,-1.0,2.845350707806123,-0.3162537800155132,1.3056925665687966,1.9653047527395002,-0.8867455491140102,1
-1.0,-1.0,-5.0,-2.0,4.0,-0.8191430446834775,-3.5381919559564468,-2.9187557871472833,-0.8962630502832161,3.9556972751594106,0
4.0,0.0,-2.0,-1.0,-2.0,-2.0567774767650144,-3.1186027617812426,-0.1683112021068307,-3.6726862684340116,4.140346038230144,0
6.0,-5.0,-4.0,-4.0,-2.0,1.2132048974105372,1.8300264787608609,0.8460674100623535,5.97226629838107,-3.8104671531629277,1
-4.0,0.0,-1.0,3.0,-5.0,-4.426548322067943,1.9365501170774346,0.22714258186626246,0.23346213978768682,3.6529898761267745,1
2.0,-3.0,-3.0,-1.0,1.0,-0.2652762612335793,1.8483847104282087,1.482594469576132,2.276989503400131,-0.4556615063316951,1
-5.0,-2.0,4.0,-2.0,2.0,-5.056850274277906,3.057635306492144,-3.5347034586979644,0.9683585154727605,-3.1911341349328124,0
1.0,-2.0,3.0,0.0,4.0,-4.020737013692363,2.5540369956436644,-2.659097901218284,-0.5371365923535323,-4.410967536904401,0
-6.0,1.0,1.0,-5.0,4.0,-2.8446439250245223,2.9575997025610468,-2.7104837987685633,1.6576033099105871,-1.3631906085219438,0
3.0,-1.0,-4.0,-3.0,2.0,-1.0902388047639666,-1.2775063890040106,0.1677109492173292,-0.6060580460101694,2.6274616142810943,0
1.0,-3.0,-3.0,-4.0,2.0,4.140036081747363,0.14418861840556407,0.804805437943072,4.667918553555991,-4.015281749400201,1
4.0,-6.0,-2.0,-2.0,5.0,-0.9583965884510013,-3.396505432989746,-2.5098882216565084,-5.3674177747313205,1.7043561224490023,0
1.0,-2.0,-2.0,-3.0,1.0,0.926397812332417,-0.12600092849590294,-0.15593336324070317,-1.2514241667709034,3.669784118989739,0
3.0,-2.0,0.0,-4.0,4.0,-2.8245046009585035,-2.6945538243806446,-7.161547069619045,-0.06204921109483341,-1.258423751639798,0
-3.0,-3.0,3.0,-2.0,1.0,0.612115338568179,2.7702497780556747,-2.5641990261571825,5.292863807604759,-2.4948563767235807,0
-3.0,0.0,4.0,-4.0,4.0,-0.6042058076665835,2.0158557297901916,-5.396913987191463,5.228601168007905,-2.708461195492553,0
1.0,-3.0,-3.0,-2.0,1.0,2.9599207314855103,0.6788305698161006,-2.519756004791261,3.018314716544751,-0.7535457082275006,1
4.0,1.0,-1.0,1.0,2.0,2.2874992416952424,4.800772647069387,5.540726924140708,5.1783901712073455,-2.6161217718629968,1
3.0,-2.0,-5.0,-1.0,0.0,-2.1804096936422894,2.6337655535843565,3.464424810457353,0.007883607650541302,-2.0546046772009783,1
1.0,-4.0,-1.0,-4.0,5.0,-1.2753818185914205,-2.2983712650307466,-2.953892152649363,-2.105391198060364,1.0091855249259352,0
5.0,-1.0,0.0,-2.0,0.0,2.566218227961145,2.273208179905694,-1.3376185252604453,4.201948942895606,-2.9261014236680745,1
-7.0,0.0,0.0,-3.0,7.0,-2.3409167751652813,3.7698852953408433,-3.8939972887701106,1.8877659722847846,-3.392228387506165,0
2.0,-2.0,-1.0,-4.0,2.0,0.8142761208239548,-1.5915494251331852,-3.0712859604314464,-1.5515453322894972,1.6318386315798639,0
0.0,-5.0,3.0,1.0,-1.0,-2.662254904758756,-0.3190428698818266,-3.0049866665189517,1.2860677794091904,-2.8033195929510746,0
-2.0,-1.0,2.0,2.0,-2.0,-4.02875347287622,1.8190313963488294,-1.535298784803743,0.6615624922823531,4.177836205775455,1
0.0,0.0,0.0,-1.0,3.0,-1.7759155522611947,1.8173011493466635,-1.6301468070457026,2.4689776607277443,-3.96483672289379,0
0.0,0.0,2.0,-1.0,4.0,0.6935820796439374,0.6240060850120199,-0.7118406541511852,1.2227336329340113,-4.715228949738767,1
0.0,-3.0,2.0,3.0,-3.0,-0.4827489660314477,3.309100026259988,-4.832298413775086,5.055969442794398,0.627297724939671,1
-6.0,-2.0,5.0,-4.0,5.0,0.33267488060419437,1.9666851309781308,-8.222850221318218,6.272568353765299,0.038428608681408516,0
1.0,-4.0,-1.0,-4.0,4.0,4.753028230417616,0.34266685760796145,-2.4777029993146575,2.665611811322698,-1.8752557504592626,1
-2.0,-6.0,1.0,1.0,-1.0,-1.2758153400063024,1.1622183494367584,-5.513697520170689,2.6854252889896593,0.5061106586023785,1
1.0,1.0,-2.0,-2.0,-2.0,-2.7788072536596244,5.472321199658497,2.7070828865192675,-2.3041586112258683,-3.27002630259027,1
5.0,-2.0,-1.0,-4.0,0.0,3.4911830580430347,4.155039414030828,6.262255386546389,4.059355558351409,-5.273581254378918,1
3.0,-2.0,-3.0,-1.0,-1.0,0.15098538543127127,3.222401250605388,3.2679511125305183,3.7028524229612887,-1.7613645636592952,1
-2.0,-3.0,4.0,0.0,2.0,0.12556703824294768,1.4101987145549342,-3.116740240796605,3.3945601567134203,2.226291403954171,1
-4.0,-2.0,4.0,-3.0,5.0,-1.013032164899987,2.3954287016800824,-3.702960067489893,1.7483436336487002,0.24860247088655152,0
0.0,-3.0,4.0,-4.0,2.0,-0.7506360918977668,3.89823884895321,1.8810873076728538,0.4260304683978873,0.035913407324069446,0
-1.0,-2.0,1.0,3.0,-4.0,-2.6526397522835037,1.2869111339160249,-0.6074201498440595,-0.004358425636336705,1.771590346526934,1
4.0,-2.0,-2.0,-2.0,1.0,3.1587218603781118,1.860090678423306,0.6532384487248672,2.566627699438498,-0.9198809226096896,1
2.0,-1.0,1.0,-2.0,1.0,2.138682076152356,1.1487624067234994,1.5369419580275114,3.1476508666741045,-3.5200980823922654,1
1.0,-1.0,2.0,2.0,-4.0,0.8555280917733441,-0.43250066813090626,1.561176401264163,5.269342145196778,3.377231321335613,1
3.0,-4.0,-1.0,-4.0,1.0,-2.3608286205865685,-1.974316950181982,-1.7574656727702929,-0.7703353489958851,0.14750162100241293,0
-1.0,-2.0,4.0,0.0,0.0,-0.8557295644538747,2.7863685241553675,-2.7718506562014973,2.11282699526272,1.777422803670407,1
4.0,-1.0,-1.0,-1.0,3.0,-2.47483092335007,-2.089093520469059,-4.464787929117122,-4.240268517637752,1.0476784542784225,0
3.0,-8.0,-1.0,-4.0,5.0,-1.614038460176031,0.4642411704778735,-0.02865089658780806,-2.3508987539927464,-3.9894916637792033,0
0.0,1.0,-2.0,-1.0,3.0,-1.943787087346738,-2.7879052252396703,-5.291429614839002,0.533304916819497,4.1912100898122375,0
2.0,1.0,-1.0,1.0,1.0,-3.064262387330185,-4.537763408188239,-4.175817142083263,-5.488547044473155,5.1691269297190106,0
2.0,-1.0,0.0,-1.0,3.0,0.8137572538668083,3.6544569177906925,1.2647623622226165,-0.6801769564511777,-1.0852867497969625,1
0.0,-6.0,-2.0,-2.0,6.0,-1.5021106093464691,-2.290520085892558,-3.883953447986901,-1.5360023823626041,2.271357317564549,0
-2.0,-1.0,2.0,3.0,-2.0,-1.0339348373920219,1.538133897319323,-1.8858294893302423,3.5252404640508983,1.469666982276986,1
-4.0,-1.0,2.0,1.0,0.0,-3.907992015451864,1.26994743160003,-0.23726015392678668,-0.5753482199214548,3.4133931175432375,1
-4.0,-4.0,2.0,2.0,-3.0,-1.1883662899226577,0.34306544057880695,-2.951610061836722,4.152992794273885,1.208057747725975,1
1.0,-1.0,-3.0,2.0,4.0,1.2330137136010695,3.322182841884516,2.767889600360948,-0.09306850332221872,2.5911923271497663,1
5.0,-2.0,-2.0,1.0,1.0,-1.4273966999465673,4.140771848428143,2.2413687521337833,0.9134253874251206,-0.22457878599076175,1
