         15984819 function calls (15984754 primitive calls) in 20.511 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   20.511   20.511 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/memory_profiler.py:269(memory_usage)
        1    0.000    0.000   20.499   20.499 /home/dom-ssd/Desktop/fyp_implementation/GAs/PyGAD_tester.py:49(run_ga)
        1    0.001    0.001   20.413   20.413 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:1874(run)
      101    0.020    0.000   15.885    0.157 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/nsga2.py:229(sort_solutions_nsga2)
      101    0.035    0.000   15.807    0.157 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/nsga2.py:67(non_dominated_sorting)
     9806    8.582    0.001   15.743    0.002 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/nsga2.py:9(get_non_dominated_set)
       51    0.000    0.000    8.072    0.158 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:2097(run_select_parents)
       51    0.004    0.000    8.071    0.158 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/parent_selection.py:106(tournament_selection)
       50    0.000    0.000    7.833    0.157 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:2301(run_update_population)
       50    0.000    0.000    7.832    0.157 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/parent_selection.py:12(steady_state_selection)
  2355694    0.858    0.000    4.570    0.000 {method 'all' of 'numpy.ndarray' objects}
       52    0.065    0.001    4.348    0.084 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:1647(cal_pop_fitness)
     5136    0.196    0.000    4.280    0.001 /home/dom-ssd/Desktop/fyp_implementation/GAs/PyGAD_tester.py:63(fitness_function)
     5138    0.060    0.000    4.068    0.001 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:182(wrapper)
  2859616    3.828    0.000    3.828    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  2355694    0.441    0.000    3.711    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/core/_methods.py:61(_all)
     5137    0.035    0.000    3.354    0.001 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/metrics/_classification.py:137(accuracy_score)
     5137    0.036    0.000    3.000    0.001 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/metrics/_classification.py:58(_check_targets)
