         13782547 function calls (13782522 primitive calls) in 18.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   18.682   18.682 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/memory_profiler.py:269(memory_usage)
        1    0.000    0.000   18.657   18.657 /home/dom-ssd/Desktop/fyp_implementation/GAs/PyGAD_tester.py:49(run_ga)
        1    0.001    0.001   18.572   18.572 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:1874(run)
      101    0.020    0.000   14.178    0.140 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/nsga2.py:229(sort_solutions_nsga2)
      101    0.031    0.000   14.058    0.139 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/nsga2.py:67(non_dominated_sorting)
     7954    7.587    0.001   14.000    0.002 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/nsga2.py:9(get_non_dominated_set)
       51    0.000    0.000    7.360    0.144 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:2097(run_select_parents)
       51    0.005    0.000    7.360    0.144 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/parent_selection.py:106(tournament_selection)
       50    0.000    0.000    6.838    0.137 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:2301(run_update_population)
       50    0.000    0.000    6.838    0.137 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/parent_selection.py:12(steady_state_selection)
       52    0.050    0.001    4.187    0.081 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:1647(cal_pop_fitness)
     4700    0.163    0.000    4.133    0.001 /home/dom-ssd/Desktop/fyp_implementation/GAs/PyGAD_tester.py:63(fitness_function)
  1981318    0.796    0.000    4.109    0.000 {method 'all' of 'numpy.ndarray' objects}
     4702    0.059    0.000    3.954    0.001 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:182(wrapper)
  2404264    3.430    0.000    3.430    0.000 {method 'reduce' of 'numpy.ufunc' objects}
  1981318    0.392    0.000    3.313    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/core/_methods.py:61(_all)
     4701    0.034    0.000    3.255    0.001 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/metrics/_classification.py:137(accuracy_score)
     4701    0.035    0.000    2.905    0.001 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/metrics/_classification.py:58(_check_targets)
  2022683    1.618    0.000    1.618    0.000 {built-in method numpy.array}
     9402    0.115    0.000    1.611    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/multiclass.py:228(type_of_target)
    23507    0.040    0.000    1.577    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:138(unique)
    23507    0.273    0.000    1.501    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
    23507    1.134    0.000    1.134    0.000 {method 'sort' of 'numpy.ndarray' objects}
     9402    0.017    0.000    0.762    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:306(unique_values)
     4701    0.009    0.000    0.752    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:116(_union1d)
     4701    0.046    0.000    0.733    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/lib/arraysetops.py:898(union1d)
   406087    0.150    0.000    0.654    0.000 {method 'any' of 'numpy.ndarray' objects}
    28206    0.208    0.000    0.614    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/validation.py:718(check_array)
   406087    0.083    0.000    0.504    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/core/_methods.py:55(_any)
     9402    0.059    0.000    0.358    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/multiclass.py:128(is_multilabel)
     9404    0.033    0.000    0.327    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/validation.py:436(check_consistent_length)
     9402    0.026    0.000    0.319    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/validation.py:1309(column_or_1d)
     4702    0.005    0.000    0.239    0.000 /home/dom-ssd/anaconda3/lib/python3.12/inspect.py:3325(signature)
     4702    0.005    0.000    0.234    0.000 /home/dom-ssd/anaconda3/lib/python3.12/inspect.py:3067(from_callable)
     4702    0.037    0.000    0.229    0.000 /home/dom-ssd/anaconda3/lib/python3.12/inspect.py:2463(_signature_from_callable)
     4702    0.037    0.000    0.193    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:25(validate_parameter_constraints)
     4702    0.063    0.000    0.174    0.000 /home/dom-ssd/anaconda3/lib/python3.12/inspect.py:2368(_signature_from_function)
       50    0.000    0.000    0.166    0.003 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:2184(run_crossover)
       50    0.059    0.001    0.165    0.003 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/crossover.py:13(single_point_crossover)
     4701    0.017    0.000    0.161    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:424(_weighted_sum)
   481503    0.096    0.000    0.156    0.000 {built-in method builtins.isinstance}
    18809    0.059    0.000    0.142    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/validation.py:364(_num_samples)
    47010    0.036    0.000    0.137    0.000 /home/dom-ssd/anaconda3/lib/python3.12/warnings.py:166(simplefilter)
    37608    0.042    0.000    0.134    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:501(_asarray_with_order)
    10665    0.051    0.000    0.132    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
    65814    0.034    0.000    0.127    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:334(get_namespace)
     4701    0.012    0.000    0.122    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/lib/function_base.py:398(average)
    75218    0.044    0.000    0.111    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/_config.py:32(get_config)
   470453    0.093    0.000    0.107    0.000 {built-in method builtins.hasattr}
     4701    0.005    0.000    0.106    0.000 {method 'mean' of 'numpy.ndarray' objects}
     4751    0.030    0.000    0.102    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/core/_methods.py:101(_mean)
    47010    0.051    0.000    0.096    0.000 /home/dom-ssd/anaconda3/lib/python3.12/warnings.py:182(_add_filter)
     7954    0.036    0.000    0.093    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/nsga2.py:126(crowding_distance)
    32917    0.036    0.000    0.086    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:101(make_constraint)
       50    0.000    0.000    0.085    0.002 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:2251(run_mutation)
       50    0.024    0.000    0.085    0.002 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/utils/mutation.py:437(inversion_mutation)
    10665    0.010    0.000    0.079    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:2979(prod)
     9402    0.006    0.000    0.079    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:327(isdtype)
     4702    0.004    0.000    0.078    0.000 /home/dom-ssd/anaconda3/lib/python3.12/inspect.py:3254(bind)
   440845    0.076    0.000    0.076    0.000 {method 'append' of 'list' objects}
    12107    0.024    0.000    0.076    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
     4702    0.049    0.000    0.074    0.000 /home/dom-ssd/anaconda3/lib/python3.12/inspect.py:3119(_bind)
     9402    0.009    0.000    0.073    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:123(isdtype)
       53    0.001    0.000    0.072    0.001 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/pygad/pygad.py:2335(best_solution)
    37615    0.014    0.000    0.070    0.000 {built-in method builtins.next}
    23507    0.069    0.000    0.069    0.000 {method 'flatten' of 'numpy.ndarray' objects}
    84618    0.050    0.000    0.066    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:272(__getattr__)
     9402    0.013    0.000    0.063    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:135(_isdtype_single)
    66090    0.016    0.000    0.059    0.000 <frozen abc>:117(__instancecheck__)
    18810    0.033    0.000    0.059    0.000 /home/dom-ssd/anaconda3/lib/python3.12/inspect.py:2729(__init__)
    47010    0.025    0.000    0.056    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:111(_is_numpy_namespace)
     9404    0.013    0.000    0.055    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/_config.py:211(config_context)
    84622    0.030    0.000    0.051    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/_config.py:24(_get_threadlocal_config)
    14104    0.006    0.000    0.049    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_param_validation.py:525(is_satisfied_by)
     9402    0.009    0.000    0.048    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:170(supported_float_dtypes)
     4702    0.005    0.000    0.047    0.000 /home/dom-ssd/anaconda3/lib/python3.12/contextlib.py:141(__exit__)
     9402    0.013    0.000    0.045    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/_array_api.py:312(reshape)
    66090    0.029    0.000    0.044    0.000 {built-in method _abc._abc_instancecheck}
    14104    0.010    0.000    0.043    0.000 /home/dom-ssd/anaconda3/lib/python3.12/site-packages/sklearn/utils/validation.py:296(_is_arraylike_not_scalar)
